,,,,,,,,,,,,
,,,,,,,,,,,,
"     ""Затверджую""",,,,,,,,,,,,
"     Декан факультету правничих наук                            Мелешевич А.А.",,,,,,,,,,,,
,,,,,,,,,,,,
"Розклад занять на весняний триместр 2012-13 н.р. факультету правничих наук 4 р.н.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",,,,,,,
,,,,,,"11 тижнів",,,,,,
,,"4-10","Криміналістика- доц. Сущенко В.М.",2,"4-308",,,,,,,
,"11.40-13.00","4-8,10","Господарське процесуальне право -",3,"8-12",,,,,,,
,,,"доц. Логуш Л.В.",,,,,,,,,
,,"4-11","Житлове право - ст. викл. Солом'яний В.Р.",1,"4-321",,,,,,,
,"13.30-14.50","1-11","Житлове право - ст. викл. Солом'яний В.Р.","Лекція","4-100",,,,,,,
,"15.00-16.20","4-10","Криміналістика- доц. Сущенко В.М.",3,"4-308",,,,,,,
,,"8,10,11","Юридичний практикум - ст. викл. Матвєєва Ю.І.",2,"9-4",,,,,,,
,"16.30-17.50","8,10,11","Юридичний практикум - ст. викл. Матвєєва Ю.І.",1,"9-4",,,,,,,
"Пт.","08.30-09.50",,,,,"8 бер.-9 т",,,,,,
,"10.00-11.20","4-8,10","Господарське процесуальне право -",2,"4-317",,,,,,,
,,,"доц. Логуш Л.В.",,,,,,,,,
,"11.40-13.00","1-7","Господарське процесуальне право -","Лекція","4-100",,,,,,,
,,,"доц. Логуш Л.В.",,,,,,,,,
,"13.30-14.50","4-8,10","Господарське процесуальне право -",1,"4-317",,,,,,,
,,,"доц. Логуш Л.В.",,,,,,,,,
,"15.00-16.20","1-8,10,11","Юридичний практикум - ст. викл. Матвєєва Ю.І.",1,"9-4",,,,,,,
,"16.30-17.50","1-8,10,11","Юридичний практикум - ст. викл. Матвєєва Ю.І.",2,"9-4",,,,,,,
,,,,,,,,,,,,
"Провідний спеціаліст деканату",,,,"В.П Кучер",,,,,,,,
